name,municipality,address,lat,lng,phone,website,nearest_station,walk_minutes,has_female_doctor,has_sedation,weekend,quick_reservation,parking,online_reservation,in_clinic_prep,barrier_free,credit_card,ct_colonography,exam_types,form_note,source_url,verified
宇都宮記念病院,宇都宮市,栃木県宇都宮市大通り1-3-16,36.560398,139.891174,028-622-1991,https://www.nakayamakai.com/,宇都宮駅,10,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇都宮肛門・胃腸クリニック,宇都宮市,栃木県宇都宮市大寛1-1-7,36.560421,139.875443,028-634-0151,https://www.o4ri.or.jp/,東武宇都宮駅,5,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇都宮第一病院,宇都宮市,栃木県宇都宮市宝木本町2313,36.638535,139.846741,028-665-5111,https://www.kouyoukai-hp.jp/,,,,TRUE,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇都宮東病院,宇都宮市,栃木県宇都宮市平出町368-8,36.570133,139.947235,028-664-1551,https://www.hokutokai.or.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
NHO栃木医療センター,宇都宮市,栃木県宇都宮市中戸祭1-10-37,36.579395,139.868286,028-622-5241,https://tochigi.hosp.go.jp/,,,,TRUE,,,TRUE,,TRUE,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
大和田内科・循環器科・胃腸科,宇都宮市,栃木県宇都宮市雀の宮4-3-14,36.493637,139.87233,028-653-0798,http://www.ohwada-naika.com/,雀宮駅,7,,,TRUE,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
かんけクリニック,宇都宮市,栃木県宇都宮市宿郷2-8-5,36.554928,139.901062,028-633-6201,https://www.kankeclinic.jp/,宇都宮駅,5,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
栃木県立がんセンター,宇都宮市,栃木県宇都宮市陽南4-9-13,36.533791,139.869965,028-658-5151,https://www.tochigi-cc.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
済生会宇都宮病院,宇都宮市,栃木県宇都宮市竹林町911-1,36.579189,139.89743,028-626-5500,https://www.saimiya.com/,,,,,,,TRUE,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
JCHOうつのみや病院,宇都宮市,栃木県宇都宮市南高砂町11-17,36.482456,139.871826,028-653-1001,https://utsunomiya.jcho.go.jp/,,,,,,,,,,TRUE,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
たからぎ胃腸外科クリニック,宇都宮市,栃木県宇都宮市宝木町1-2588-6,36.581104,139.858994,028-643-6000,,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
よしざわクリニック,宇都宮市,栃木県宇都宮市台新田1-2-25,36.517143,139.877518,028-658-6111,https://www.yoshizawaclinic.com/,,,,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇都宮セントラルクリニック,宇都宮市,栃木県宇都宮市屋板町561-3,36.50946,139.899185,028-657-7300,https://ucc.or.jp/,,,,,TRUE,,,,TRUE,,,TRUE,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
宇都宮消化器・内視鏡内科クリニック,宇都宮市,栃木県宇都宮市下砥上町691-4,36.533951,139.848984,028-615-1001,https://www.tsuchida-naika.clinic/,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
足利赤十字病院,足利市,栃木県足利市五十部町284-1,36.339684,139.421249,0284-21-0121,https://www.ashikaga.jrc.or.jp/,,,,,,,,,,,,,{大腸内視鏡},,https://www.city.nasushiobara.tochigi.jp/material/files/group/21/daityouseimitukensa3.pdf,TRUE
